titel	datering	pagina	incipit	titel_norm	taal
TEXT000000033784	Getijdenboek (usus Parijs); dl.II; Lat.	1455				latijn	TDRA000000014420
TEXT000000041312	Een gebed tot S. Hieronymus		 f.266v-267r	"Wees gegruet seer gloriose Jheronime ..."			TDRA000000015923
TEXT000000018515	Maria-exempel met gebed		 f.121v-122r	"Een clerc was die onse vrouwe harde ynnich was ende hi plachse alle daghe te groeten mit dese vijf vroechden teghen dat wee dat si hadde van haer sones vijf wonden ..."			TDRA000000001329
TEXT000000016538	Getijden van het lijden van Jezus		 f.036r-256r				TDRA000000006120
TEXT000000022845	Berijmd gebed tot Maria, op de stokregel Maria mater domini		 f.071ra-071rb	"Minen dienst die es bereit / Waer ic kere of waer ic vare / Eender maghet wijfelijcheit ..."			TDRA000000005898
TEXT000000034014	Gebeden tot Jezus met drie pater noster		 f.?	"O here Jhesus Christe, des levendigen gods soen, doer die verdusterynge uwer gebenedider ogen aenden cruce, soe bid ic u ontfermt u over my als ic sterven sal ..."			TDRA000000005597
TEXT000000030272	Getijdenboek (usus Rome), met kalender; Lat.	1524				latijn	TDRA000000012523
TEXT000000024575	Getijdenboek; Lat.	1430				latijn	TDRA000000010186
TEXT000000030500	Gebedenboek; Mnl.	13??				nederlands	TDRA000000012659
TEXT000000019192	Gebed van keizer Maximiliaan		 f.002r-003v				TDRA000000003833
TEXT000000039242	Getijden van het H. Kruis (onvolledig aan het begin)		 f.077r-106v				TDRA000000006023
TEXT000000019804	Gebed tot S. Maria tegen de pest		 f.105v-107v	"Vrouwe dich du alre gebenedichste Gadz moeder ..."			TDRA000000004727
TEXT000000022892	Kort berijmd gebed		 f.204r	"Jhesus Christus, god ende here / Sijnre liever moeder eere / Verleen u ende my mede / Inwindighe vroude ende ghewarich vrede"			TDRA000000001774
TEXT000000025125	Lange getijden van het H. Kruis		 f.111v-145v				TDRA000000002047
TEXT000000005593	Getijdenboek					onb	TDRA000000006799
TEXT000000017197	Getijdenboek; fragm.					nederlands	TDRA000000008407
TEXT000000024549	Getijden; fragm.; Lat.	1450/1500	2				TDRA000000010171
TEXT000000023226	Getijdenboek; Frans en Lat.	1500/1510				frans;latijn	TDRA000000009508
TEXT000000038606	Getijden van de eeuwige wijsheid		 f.001r-033r				TDRA000000000558
TEXT000000038389	Getijden van de eeuwige wijsheid		 f.091v-099v				TDRA000000002882
TEXT000000006267	Getijdenboek van Thiébaut de Luxembourg	1456					TDRA000000007045
TEXT000000040232	Getijden van S. Maria		 f.015r-?	"Die metten tijt. Here du selte op doen mijn lippen ..."			TDRA000000007513
TEXT000000042343	Lange Kruisgetijden		 f.049r-070				TDRA000000004471
TEXT000000014105	Getijdenboek, met kalender voor Salisbury; Lat.	1425/1475				latijn	TDRA000000008206
TEXT000000037904	Gebedenboek					onb	TDRA000000015716
