id	signatuur	aut_id	auteur
TDRA000000004972	UTRECHT, MCC : ABM 36	LEXI000000003772	Henricus Suso
TDRA000000002244	AMSTERDAM, UB : I G 35	LEXI000000003360	Hendrik Mande
TDRA000000002244	AMSTERDAM, UB : I G 35	LEXI000000004327	Jan Brugman
TDRA000000002287	AMSTERDAM, UB : I G 53	LEXI000000003325	Geert Grote
TDRA000000015923	CAMBRIDGE, FM : 137	LEXI000000003325	Geert Grote
TDRA000000007880	GENT, UB : 901	LEXI000000008347	Anna Bijns
TDRA000000007880	GENT, UB : 901	LEXI000000007485	Anthonius Ghyselers
TDRA000000007880	GENT, UB : 901	LEXI000000004327	Jan Brugman
TDRA000000008225	ANTWERPEN, RG : s.o.	LEXI000000003704	Jan van Ruusbroec
TDRA000000002708	'S-GRAVENHAGE, KB : 72 J 8	LEXI000000003325	Geert Grote
TDRA000000002708	'S-GRAVENHAGE, KB : 72 J 8	LEXI000000003772	Henricus Suso
TDRA000000003364	'S-GRAVENHAGE, KB : 133 E 26	LEXI000000003772	Henricus Suso
TDRA000000015504	STUTTGART, WLB : Brev. 62	LEXI000000003474	Alanus van Rijsel
TDRA000000015504	STUTTGART, WLB : Brev. 62	LEXI000000003492	Augustinus
TDRA000000000479	UTRECHT, MCC : BMH 59	LEXI000000003325	Geert Grote
TDRA000000006034	KARLSRUHE, BLB : 1307	LEXI000000003325	Geert Grote
TDRA000000006020	WÜRZBURG, UB : M.ch.q. 144	LEXI000000003781	Dirc van Delf
TDRA000000006020	WÜRZBURG, UB : M.ch.q. 144	LEXI000000003704	Jan van Ruusbroec
TDRA000000006020	WÜRZBURG, UB : M.ch.q. 144	LEXI000000004416	Marquard von Lindau
TDRA000000001820	BRUSSEL, KB : IV 736	LEXI000000003772	Henricus Suso
TDRA000000003776	BRUSSEL, KB : 5620-25	LEXI000000021599	Gherijt Splinterszoen
TDRA000000003776	BRUSSEL, KB : 5620-25	LEXI000000021603	Meester Willem
