id	signatuur	kopiist
TDRA000000000493	UTRECHT, MCC : BMH 93	Gielijs vanden Inde
TDRA000000002045	DRESDEN, SL : M 285	een onbekende man
TDRA000000015505	STUTTGART, WLB : Brev. 70	Barbara Gabler
TDRA000000005716	KAAPSTAD, NLSA : Grey 3 a 16	Johannes de Malborch
TDRA000000003401	'S-GRAVENHAGE, KB : 133 D 13	een onbekende man
TDRA000000003398	'S-GRAVENHAGE, KB : 133 F 11	Cornelis Bruin
TDRA000000011940	MÜNSTER, UB : N.R. 5507	Heynric Priem
TDRA000000009699	OXFORD, BL : Douce 110	Petrus Meghen
TDRA000000014804	KOPENHAGEN, KB : Thott 142 Oct.	Wolter Claessen van Myl
TDRA000000006025	DE VRIES VAN DOESBURGH ('s-Gravenhage) : z.s.	Maria van Romunt
TDRA000000007529	ASSEN, DA : Oldenhuis Gratama 929	Kopiist van LEIDEN, UB : LTK 299
TDRA000000005464	CUIJK, SA : C 124	een onbekende man
TDRA000000016196	BRUSSEL, KB : IV 474	zuster Mariken Pompen
TDRA000000001165	UTRECHT, UB : Cat. 1040	Spierinck
TDRA000000006805	NIJMEGEN, UB : 322	Gielijs vander Schueren
TDRA000000008035	DIEST, SA : z.s.	Lijsbeth Hoeybeecx
TDRA000000013373	BRUGGE, BG : z.s.	Rombout de Doppere
TDRA000000007460	Olim LE ROY DU VIVIER (Munsterbilsen) : z.s.	zuster Meth Monnicx
TDRA000000015716	Olim MARCUS (Amsterdam) : Cat. 1750, 8° nr. 37	Janke Willem Gijsbertsdr
TDRA000000003148	'S-GRAVENHAGE, KB : 134 C 53	Kopiiste van LEIDEN, UB : BPL 2259
TDRA000000003148	'S-GRAVENHAGE, KB : 134 C 53	Kopiiste van MAASTRICHT, GA : 462
TDRA000000003148	'S-GRAVENHAGE, KB : 134 C 53	Kopiiste van de kalender in MAASTRICHT, GA : 462
TDRA000000002281	AMSTERDAM, UB : I F 30	een onbekende man
TDRA000000004828	DARMSTADT, HLHB : 964	Theodericus Clocker (Aken)
TDRA000000012535	NEW YORK, PML : 451	Antonius van Damme
TDRA000000014807	DARMSTADT, HLHB : 191	zuster Cecilia Güdorff
TDRA000000006797	HASSELT, PM : s.o.	Anna Swilden
TDRA000000005249	UTRECHT, MCC : Warmond 92 A 3	Gherijt Janszn
TDRA000000002240	AMSTERDAM, UB : I G 32	Katrijn van Rade
TDRA000000008802	BRUGGE, SB : 673	Kopiist van BRUSSEL, KB : IV 999
TDRA000000006191	WENEN, ONB : 1908	Helmich die Lewe
TDRA000000004792	DARMSTADT, HLHB : 1891	Maria Mengede
TDRA000000002693	'S-GRAVENHAGE, KB : 71 H 57	Kopiist van 'S-GRAVENHAGE, KB : 133 D 28
TDRA000000005658	BRUGGE, SB : 319	F.N.K.
TDRA000000001166	UTRECHT, UB : Cat. 1041	Kopiist van 'S-GRAVENHAGE, KB : 133 E 20
TDRA000000004793	DARMSTADT, HLHB : 1871	Elizabeth van Breitmar
TDRA000000001774	BRUSSEL, KB : IV 421	Kopiist van BRUSSEL, KB : IV 815
TDRA000000003349	'S-GRAVENHAGE, KB : 131 H 6	Marie Breton
TDRA000000004432	LONDEN, BL : Add. 39639	Kopiist van 'S-GRAVENHAGE, KB : 133 E 20
